Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран
"Ultra HD (4K) LED телевизор 50"" Philips 50PUS7406/60",21 999 р.,4,86,Россия,1 год,Android TV,,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,200x100 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,67.73 см,111.22 см,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,Android 10.0,350 кд/м² ,,,60 Гц ,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Realme RMT101",14 999 р.,5,161,Китай,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,Голосом ,,,,,,,,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital; Dolby Digital Plus,12 Вт,,,,,3 ,,,,,,,,,,Есть,Есть ,,,,,Есть ,47.5 см,72.4 см,18 см,42.5 см,72.4 см,8.4 см,4.2 кг,4.1 кг,Черный ,,"PAL, SECAM",,,,,,,,,,60 Гц ,,,,,,,AMVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Realme TV 43 RMV2004",24 999 р.,5,182,Китай,1 год,Android TV,100 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,,,,,,,Есть,200x200 ,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ","Dolby Atmos, DTS",,,,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,62.4 см,96 см,25.9 см,56.3 см,96 см,7.6 см,6.5 кг,6.3 кг,Черный ,16:9,"PAL, SECAM",4 ,24 Вт,,,,,,,,60 Гц ,,,,,,,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV S1",22 999 р.,4,7,Россия,1 год,Android TV,74 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,19 Вт,Есть,Есть,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,,,5000:1,,11,250 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,UHD 4K,Direct LED,Есть,Есть,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 43"" Hisense 43E7HQ",29 999 р.,5,54,Россия,1 год,,80 Вт,"43"" (109.2 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,,,,,,Есть,Есть,200x300 ,,Есть,,,"DVB-C, DVB-S2, DVB-T2 ",,,Есть,Есть,,,3 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,61.1 см,96.3 см,22.3 см,56 см,96.3 см,7.4 см,,,,,,2 ,14 Вт,,,,,,,,60 Гц ,,,,,,,,,,Есть,Есть,,,,,,,,Есть,"MP3, AVI, MKV, JPEG, WMA",,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hisense 40A4K",22 499 р.,5,9,Россия,1 год,VIDAA,74 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,Есть,200x200 ,Есть,Есть,,Есть,"DVB-C, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,,,,2 ,1.4,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,1,,Есть ,,,,,,,,,,16:9,,2 ,14 Вт,,5000:1,,6.0,,,,60 Гц ,178 °,,,,,,VA,TruColor 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Hisense 65E7HQ",59 999 р.,5,67,Россия,1 год,VIDAA,190 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,400x300 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision,,Есть,,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.6 см,145.2 см,30 см,83.4 см,,,,,,16:9,"PAL, SECAM",,20 Вт,,,,U5.0,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hisense 40A4BG",19 999 р.,5,134,Россия,1 год,VIDAA,74 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,28 Вт,Есть,Есть,,,2 ,2.0,,,,,,Есть ,2,Есть ,,Есть ,,,,,Есть ,55.9 см,89.3 см,18.2 см,,,,5.5 кг,,Черный ,16:9,"PAL, SECAM",,,5.4 кг,,,4.2,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hi VHIT-40F152MS",19 999 р.,5,249,Беларусь,1 год,,68 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,,,Есть,Есть ,Есть,Есть ,Есть,,,200x200 ,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,Есть,,3 ,,,Есть,,,Есть,Есть ,2,,,,,,,,Есть ,57 см,91 см,19.5 см,52.6 см,91 см,7.8 см,,,Черный ,16:9,"PAL, SECAM",2 ,8 Вт,7 кг,1200:1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Grundig 55 GFU 7800B",34 999 р.,5,49,Турция,1 год,Android TV,77.1 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.0,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,77.3 см,123.7 см,26.3 см,,,,,,Черный ,,"PAL, SECAM",,16 Вт,10.8 кг,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Hisense 65U8HQ",149 999 р.,5,19,Россия,1 год,VIDAA,280 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,400x300 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision IQ,,Есть,,,,4 ,"2.0, 2.1",,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,91.4 см,145.2 см,30 см,,,,,,,16:9,"PAL, SECAM",,60 Вт,,,,VIDAA U6.0,,,,120 Гц ,,,,,,Есть,,,Mini LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Grundig 43 GFU 7800B",39 999 р.,4,46,Турция,1 год,Android TV,66.4 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.0,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,61.9 см,96.8 см,24 см,,,,,,Черный ,,"PAL, SECAM",,16 Вт,7 кг,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Toshiba 50C350KE",34 999 р.,5,234,Россия,1 год,VIDAA,130 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Studio Sound,,Есть,Есть,,Есть,3 ,2.1,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2x8 Вт,,,,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Toshiba 55C350LE",44 999 р.,5,17,Китай,1 год,VIDAA,130 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,Есть,200x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,IPS,UHD 4K 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Grundig 65 GHU 7830",62 999 р.,5,10,Турция,1 год,,85.1 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,11,,,,60 Гц ,,,,,,Есть,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 50"" Toshiba 50C450KE",44 999 р.,5,99,Россия,1 год,VIDAA,130 Вт,"50"" (127 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,Есть,200x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,Есть,Есть,,,3 ,2.1,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,10.2 кг,9.8 кг,,,"PAL, SECAM",,16 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Hisense 65U7HQ",99 999 р.,5,54,Китай,1 год,VIDAA,200 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,Есть ,Есть,,Есть,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision,,Есть,,,,4 ,"2.0, 2.1",,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.1 см,145.1 см,30.7 см,,,,,,,16:9,"PAL, SECAM",,20 Вт,,5000:1,,U6.0,,,,120 Гц ,,,,,,Есть,,,Direct LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Toshiba 55C450KE",54 999 р.,5,84,Россия,1 год,VIDAA,140 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,Есть,200x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,Есть,Есть,,,3 ,2.1,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,75.8 см,123.2 см,,,,,,,,,"PAL, SECAM",,16 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 75"" Haier 75 Smart TV S1",109 999 р.,5,13,Китай,1 год,Android TV,260 Вт,"75"" (190.5 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,,,Есть,4 ,2.1,,,,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,5000:1,,11,300 кд/м² ,,,60 Гц ,178 °,178 ° ,8.5 мс,Есть,,Есть,,,Direct LED,Есть,Есть,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" HEC R1 24 HD (DH1VH0D00RU)",6 299 р.,5,28,Россия,1 год,,40 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,,Есть,Есть,Есть,,Есть,,Есть,,"DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,Есть,Есть,2 ,1.4a,,,,,Есть,Есть ,1,,,,,,,,Есть ,,,,33.3 см,55.6 см,7.9 см,2.355 кг,,Черный ,16:9,"PAL, SECAM",2 ,2x3.5 Вт,2.305 кг,,,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hisense 32A4BG",13 999 р.,5,386,Россия,1 год,VIDAA,65 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,24 Вт,Есть,Есть,,,2 ,2.0,,,,,,Есть ,2,Есть ,,Есть ,,,,,Есть ,46.9 см,71.7 см,16 см,,,,3.9 кг,,Черный ,16:9,"PAL, SECAM",,,3.8 кг,,,4.2,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" LG 32LM637BPVA",16 999 р.,5,15,Китай,1 год,,35 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,,,Есть,Есть ,,,Есть,,,200x200 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3 ,1.4,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,46.4 см,73.6 см,,,,,,,,16:9,,2 ,2x5 Вт,,,,,,,,50 Гц ,,,,,,Есть,,,Direct LED,,,2.0,,,4,,,,Есть,,,,,3 ,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hi VHIX-32F219MSY",9 399 р.,4,214,Беларусь,1 год,Яндекс.ТВ,55 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,Есть,Есть,,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,,,3 ,2.0,,Есть,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,71.3 см,19.4 см,46.4 см,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,,Есть,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 50"" Haier 50 Smart TV AX Pro",49 999 р.,5,107,Китай,1 год,Android TV,160 Вт,"50"" (127 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,,4 ,2.1,,,Есть,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х12 Вт,,5000:1,,11.0,350 кд/м² ,,,60 Гц ,176 °,176 ° ,8 мс,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Grundig 55 GGU 7900B",56 999 р.,5,27,Турция,1 год,Android TV,64.1 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,78.5 см,123.9 см,24 см,,,,,,Черный ,,"PAL, SECAM",,20 Вт,13.2 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG 50UQ80006LB",38 999 р.,5,17,Россия,1 год,WebOS,130 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,71.3 см,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG NanoCell 50NANO75VPA",39 999 р.,4,14,Египет,1 год,,90 Вт,"50"" (127 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,Есть,Есть ,,,Есть,,,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Ultra Surround,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2x10 Вт,,,,,,,,60 Гц ,,,,,,Есть,VA,,Direct LED,,,2.0,,,4,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Toshiba 32V35KE",18 999 р.,5,155,Россия,1 год,VIDAA,65 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,,200x100 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,Есть,,,2 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,47.3 см,71.7 см,18.6 см,3.9 кг,,,16:9,"PAL, SECAM",2 ,2x6 Вт,,,,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hi VHIX-32H181MSY",9 499 р.,4,239,Беларусь,1 год,Яндекс.ТВ,35 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,,,Есть,,,,,200x100 ,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,Есть,,3 ,2.2,,Есть,,,Есть,Есть ,1,Есть ,,Есть ,,,,,Есть ,,,,50.6 см,78.6 см,21.5 см,,,,16:9,"PAL, SECAM",2 ,16 Вт,3.6 кг,,Есть,,,,,50 Гц ,,,,,,,IPS,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Toshiba 43V35KE",24 999 р.,5,194,Россия,1 год,VIDAA,74 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Studio Sound,,Есть,Есть,,,2 ,2.0,,,,Есть,,Есть ,2,Есть ,,Есть ,,,,,Есть ,60.6 см,71.7 см,20 см,,,,6.5 кг,,,16:9,"PAL, SECAM",2 ,2x7 Вт,,,,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Haier 55 Smart TV MX",33 999 р.,5,169,Китай,1 год,Android TV,150 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,,Есть,,Есть,,,,,,,,,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",Стерео,,Есть,Есть,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,6000:1,,,300 кд/м² ,,,60 Гц ,176 °,176 ° ,8 мс,Есть,,,,,Direct LED,Есть,Есть,,Есть,,,,Есть,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV K6",25 999 р.,5,94,Россия,1 год,Android TV,74 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Decoding,,Есть,Есть,Есть,Есть,4 ,2.1,,,Есть,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,5000:1,,Android 11,250 кд/м² ,,,60 Гц ,178 °,178 ° ,9.5 мс,Есть,,Есть,,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Philips 32PHS6825",12 999 р.,4,62,Россия,1 год,,44 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,Есть,Есть ,Есть,,,100x100 ,,Есть,Есть,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,,,3 ,1.4,,Есть,,,Есть,Есть ,2,,,,,,,,Есть ,,,,42.5 см,72.7 см,7.3 см,,,Черный ,16:9,"PAL, SECAM",2 ,2х8 Вт,4.2 кг,,,,,,,,,,,,,Есть,,Pixel Plus HD,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hi VHIT-32H169MS",6 999 р.,5,170,Беларусь,1 год,,35 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,Есть ,Есть,,,100x100 ,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,Есть,,3 ,2.2,,Есть,,,Есть,Есть ,1,,,,,,,,Есть ,,,,50.6 см,78.6 см,21.5 см,,,Черный ,16:9,"PAL, SECAM",2 ,8 Вт,3.9 кг,3000:1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Витязь 55LU1204 Smart",19 999 р.,4,68,Беларусь,1 год,Android TV,125 Вт,"55"" (139.7 см) ",,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,Есть ,,Есть ,,,,200x200 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,,,3 ,,,Есть,,,,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,77 см,123 см,26 см,,,,16:9,"PAL, SECAM",2 ,8 Вт,18.6 кг,,Есть,Android 9.0,250 кд/м² ,,,,,,,,,Есть,,,,,,,,,,,,,,"MP3, JPEG, MPEG4",,,,,,5000:1,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG NanoCell 65NANO80VPA",84 999 р.,5,10,Индонезия,1 год,WebOS,,"65"" (165.1 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,300x300 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",ULTRA Surround,,,,,,4 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2x10 Вт,,,,,,,,60 Гц ,,,,,,Есть,IPS,,Edge LED,,,2.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
