Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран,Преобразование 2D в 3D,Антибликовое покрытие,VGA (D-Sub),Регулировка температуры цвета,Гребенчатый фильтр,Количество каналов,Интерьерный режим,Функция Plug&Play
"Ultra HD (4K) LED телевизор 75"" Toshiba 75C350LE",114 999 р.,5,8,Китай,1 год,VIDAA,250 Вт,"75"" (190.5 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,Есть,400x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,30 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,IPS,UHD 4K 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" BBK 32LEX-7290/TS2C",13 390 р.,0,0,Россия,1 год,"Яндекс.ТВ, Android TV",40 Вт,"31.5"" (80 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,,,Есть,,,Есть,Есть,100x100 ,,,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,Есть,,2 ,1.4a,,Есть,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,SECAM,2 ,2х10 Вт,,1400:1,,Android 9.0,220 кд/м² ,8 ГБ,1 ГБ,60 Гц ,178 °,178 ° ,7 мс,,,,,,Direct LED,,,,,,,,,,,"MP3, AVI, MKV, JPEG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" LG 55UQ75001LG",47 999 р.,5,5,Россия,1 год,WebOS,160 Вт,"55"" (139.7 см) ",,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,300x300 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,78.3 см,124.4 см,23.5 см,,14.3 кг,,,"PAL, SECAM",2 ,2 x 10 Вт,14.4 кг,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Artel 50AU20K",59 999 р.,5,15,Узбекистан,3 года,Android TV,95 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,,,Голосом ,,,,,,Есть,Есть,,,Есть,,Есть,"DVB-C, DVB-S, DVB-S2, DVB-T2 ",,,Есть,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,69.2 см,111.6 см,21 см,68.2 см,111.6 см,7.6 см,,,Черный ,16:9,"NTSC, PAL, SECAM",2 ,24 Вт,12.5 кг,,,10,,16 ГБ,2 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Samsung QE65Q60BAU",108 999 р.,5,11,Узбекистан,1 год,Tizen,117 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,50 Гц ,,,,,,Есть,,,,,,2.0,,Quantum 4K Lite,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,
"Ultra HD (4K) Neo QLED телевизор 50"" Samsung QE50QN90CAU",162 999 р.,5,3,Вьетнам,1 год,Tizen,110 Вт,"50"" (127 см) ",Neo QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",,40 Вт,,,,,4 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,70.5 см,111.4 см,22 см,,,,,,,,,,,,,,,,,,120 Гц ,,,,,,,,,,,,,,Neo Quantum 4K,,,,Есть,,,,,,,,,,,,,Есть ,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Supra STV-LC32LT0045W",8 990 р.,0,0,Россия,1 год,,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,,Есть ,,,Есть,100x100 ,,Есть,,,"DVB-C, DVB-T, DVB-T2 ",Стерео,,,,,,3 ,,Есть,Есть,,,Есть,Есть ,,,,,,,,,Есть ,47.8 см,72.8 см,19.4 см,43 см,72.8 см,8.6 см,,,,16:9,"PAL, SECAM",2 ,2 x 10 Вт,,,,,220 кд/м² ,,,60 Гц ,178 °,178 ° ,8.5 мс,,,,,,,,,,,,,,,,,"MP3, AVI, MKV, JPEG",,,,3 ,,100000:1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Hisense 50A6BG",30 190 р.,0,0,Россия,1 год,VIDAA,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,Есть,Есть,,,3 ,2.0,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,4000:1,,5.0,300 кд/м² ,,,60 Гц ,178 °,178 ° ,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ81009LC",31 999 р.,0,0,Россия,1 год,WebOS,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,,,Есть,200x200 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,3 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,178 °,,,Есть,,Есть,,,Direct LED,,,2.0,Есть,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Maunfeld MLT32HSD02",13 990 р.,5,2,Беларусь,1 год,Android TV,40 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,,,Есть ,Есть,Есть ,Есть,Есть,,,Есть,,,,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,,Есть,1 ,,,Есть,,,Есть,Есть ,2,Есть ,Есть,,,,,,,,,,,,,,,,16:9,,2 ,16 Вт,,3000:1,Есть,11,200 кд/м² ,,,60 Гц ,170 °,170 ° ,6.5 мс,,,Есть,VA,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Maunfeld MLT43FSD02",21 790 р.,5,2,Беларусь,1 год,Android TV,50 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,Есть,Есть,1 ,2.0,,,Есть,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,1200:1,,,200 кд/м² ,,,60 Гц ,170 °,170 ° ,8 мс,,,,IPS,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,
"LED телевизор 32"" Maunfeld MLT32HSD02",13 990 р.,5,2,Беларусь,1 год,Android TV,40 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,,,Есть ,Есть,Есть ,Есть,Есть,,,Есть,,,,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,,Есть,1 ,,,Есть,,,Есть,Есть ,2,Есть ,Есть,,,,,,,,,,,,,,,,16:9,,2 ,16 Вт,,3000:1,Есть,11,200 кд/м² ,,,60 Гц ,170 °,170 ° ,6.5 мс,,,Есть,VA,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Maunfeld MLT43FSD02",21 790 р.,5,2,Беларусь,1 год,Android TV,50 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,Есть,Есть,1 ,2.0,,,Есть,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,1200:1,,,200 кд/м² ,,,60 Гц ,170 °,170 ° ,8 мс,,,,IPS,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Maunfeld MLT55USD02",40 990 р.,5,2,Беларусь,1 год,Android TV,112 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,,Есть,Есть ,Есть,Есть ,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,Есть,Есть,1 ,2.0,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,5000:1,,,280 кд/м² ,,,60 Гц ,170 °,170 ° ,6.5 мс,,,,IPS,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,
"LED телевизор 24"" Skyline 24YST5970",9 100 р.,0,0,Беларусь,1 год,Android TV,48 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,,,,Есть ,Есть,,,,,,,,"DVB-T, DVB-T2 ",,12 Вт,Есть,,Есть,,2 ,1.4,,Есть,,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х6 Вт,,,,9.0,200 кд/м² ,8 ГБ,1 ГБ,50 Гц ,178 °,178 ° ,8 мс,,,,TN,,Direct LED,Есть,,,Есть,,,,,,,"MP3, MKV, MPEG4",,,,,,60000:1,Dolby Digital,,,,,,,,,,,,,,,Есть,,,,,,,,,,,
"LED телевизор 28"" LG 28TQ525S-PZ",23 690 р.,5,2,Китай,1 год,WebOS,28 Вт,"28"" (71.1 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,Есть,Есть ,,Есть ,,,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,,,,Есть,,,Есть ,1,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2 × 5 Вт,,5000000:1,,,250 кд/м² ,,,60 Гц ,178 °,178 ° ,14 мс,,,,IPS,LG ThinQ,Direct LED,,Есть,2.0,,Triple XD,,Samsung,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,Матовое,,,,,,Есть
"LED телевизор 40"" Kivi 40F740NB",22 499 р.,5,10,Беларусь,1 год,Android TV,52 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,,,,,,,Есть,200x200 ,Есть,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,3 ,1.4,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,52.4 см,90 см,6.4 см,,,Черный ,,"PAL, SECAM",,16 Вт,6.3 кг,,,9,,,,60 Гц ,,,,,,,Super-MVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Harper 65U770TS",59 990 р.,0,0,Беларусь,1 год,Android TV,200 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,,Есть ,,,,,,,,,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,"2.0, 1.4",,,,,,Есть ,2,Есть ,Есть,,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,2х10 Вт,,200000:1,,Android 9.0,330 кд/м² ,16 ГБ,2 ГБ,60 Гц ,178 °,178 ° ,6 мс,,,,IPS,,Direct LED,Есть,Есть,,Есть,Cortex-A53,,ARM,,,,"MP3, AVI, MKV, JPEG, WMA, MPEG4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Toshiba 50C350LE",39 999 р.,5,16,Китай,1 год,VIDAA,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,,,Есть,,Есть,,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,Есть,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,71.2 см,111.7 см,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,VA,"HDR10+, HLG, Dolby Vision 1700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Kivi 55U750NW",39 999 р.,5,11,Беларусь,1 год,Android TV,109 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,,,,,Есть,,Есть,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,4 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,71 см,123 см,6.5 см,,,Белый ,,"PAL, SECAM",,24 Вт,12.8 кг,,,11,,,,60 Гц ,,,,,,Есть,VA,МЕМС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть ,,,,,,,,
"LED телевизор 32"" Telefunken TF-LED32S74T2S",9 500 р.,0,0,Беларусь,1 год,Android TV,40 Вт,"31.5"" (80 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-T2 ",NICAM стерео,,Есть,,,,3 ,1.4,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,10 Вт,,,,Android 9.0,180 кд/м² ,1 ГБ,8 ГБ,60 Гц ,178 °,178 ° ,,,,,,,,,,2.0,,A55,4,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,1.1 ГГц,,,,,,Есть,,,
"Ultra HD (4K) LED телевизор 75"" Haier 75 Smart TV S1",99 990 р.,0,0,Китай,1 год,Android TV,260 Вт,"75"" (190.5 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,,4 ,2.1,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2 х 10 Вт,,,,11,300 кд/м² ,,,60 Гц ,178 °,178 ° ,8.5 мс,Есть,,Есть,,UHD 4K,Direct LED,Есть,Есть,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" BBK 24LEM-1034/T2C",8 610 р.,0,0,Россия,1 год,,45 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,,,,,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,Есть,,,1 ,1.4,,Есть,,,Есть,Есть ,1,,,,,,,,Есть ,36.4 см,55.1 см,17.7 см,,,,,,,16:9,,2 ,3х2 Вт,,3000:1,,,200 кд/м² ,,,60 Гц ,178 °,178 ° ,5 мс,,Есть,,,,Direct LED,,,,,,,,,,,"MP3, JPEG",,,,,Есть,,,,,,,,,,,,,,,,,,Есть,,,,,Есть,,,,,
"LED телевизор 24"" BBK 24LEX-7208/TS2C",11 190 р.,0,0,Россия,1 год,Яндекс.ТВ,36 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,,,,,,Есть,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,1.4,,Есть,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,,2 ,10 Вт,,3000:1,,,180 кд/м² ,,,60 Гц ,178 °,178 ° ,8.5 мс,,,,,,Direct LED,,,,,,,,,,,"MP3, JPEG",,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,
"LED телевизор 32"" BBK 32LEX-7288/TS2C",13 390 р.,0,0,Россия,1 год,"Яндекс.ТВ, Android TV",40 Вт,"31.5"" (80 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,,,Есть,,,Есть,Есть,100x100 ,,,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,Есть,,2 ,1.4a,,Есть,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,SECAM,2 ,2х10 Вт,,1400:1,,Android 9.0,220 кд/м² ,8 ГБ,1 ГБ,60 Гц ,178 °,178 ° ,7 мс,,,,,,Direct LED,,,,,,,,,,,"MP3, AVI, MKV, JPEG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Blaupunkt 24HB5000",12 590 р.,0,0,Китай,2 года,Android TV,55 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,,,,,2 ,1.4,,,Есть,,Есть,Есть ,1,Есть ,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,3000 : 1,,Android 9.0,180 кд/м² ,8 ГБ,1 ГБ,60 Гц ,,,8.5 мс,,,,VA,,Direct LED,,,2.0,,Cortex-A53,,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Telefunken TF-LED24S15T2 Black",7 100 р.,0,0,Беларусь,1 год,,,"23.6"" (59.9 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,,Есть ,Есть,Есть,Есть,100x100 ,,,,,"DVB-C, DVB-T, DVB-T2 ",,,Есть,,Есть,,1 ,,,Есть,,,Есть,Есть ,1,,,,,,,,Есть ,38 см,55 см,21 см,34 см,55 см,7 см,,,,16:9,"PAL, SECAM",2 ,2х3 Вт,2.4 кг,3000:1,,,180 кд/м² ,,,50 Гц ,178 °,178 ° ,9.5 мс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,
"LED телевизор 32"" Hisense 32A5KQ",24 999 р.,5,5,Россия,1 год,VIDAA,27 Вт,"32"" (81.3 см) ",QLED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,,,Есть,Есть ,Есть,Есть,Есть,100x200 ,Есть,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",DTS Virtual-X,,,,,,2 ,1.4,,,,,Есть,Есть ,2,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,,2 ,16 Вт,,3000:1,,U6.0,200 кд/м² ,,,60 Гц ,178 °,178 ° ,,,,,,,Direct LED,Есть,,,,,,,,,,"MP3, JPEG, WMA",,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QLED телевизор 40"" Hisense 40A5KQ",29 999 р.,5,3,Россия,1 год,VIDAA,39 Вт,"40"" (101.6 см) ",QLED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,,,Есть,Есть ,Есть,Есть,Есть,200x200 ,Есть,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",DTS Virtual-X,,,,,,2 ,,,,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,,,,,,,16:9,,2 ,16 Вт,,3000:1,,U6.0,200 кд/м² ,,,60 Гц ,178 °,178 ° ,,,,,,,Direct LED,Есть,,,,,,,,,,"MP3, JPEG, WMA",,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Hyundai H-LED24BS5002",12 990 р.,0,0,Беларусь,1 год,Яндекс.ТВ,35 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,,,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,,,2 ,,,Есть,,,Есть,Есть ,2,Есть ,Есть,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х2 Вт,,3000:1,,,200 кд/м² ,8 ГБ,1 ГБ,60 Гц ,178 °,178 ° ,8.5 мс,Есть,,,,,,,,2.0,Есть,,,,,,,,,,Есть,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Candy DH1VV6D02RU",29 999 р.,0,0,Россия,1 год,Android TV,150 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,,400x300 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Decoding,20 Вт,Есть,Есть,Есть,,4 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,,,,,,,11,,,,60 Гц ,,,,,,,,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 65"" Grundig 65 OLED GG 970B",189 999 р.,5,11,Турция,1 год,Android TV,140 Вт,"65"" (165.1 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,91.8 см,144.9 см,31.7 см,,,,,,,,"PAL, SECAM",,20 Вт,31 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,Dolby Vision,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 65"" LG OLED65A2RLA",151 199 р.,5,8,Россия,1 год,WebOS,371 Вт,"65"" (165.1 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,,,,,60 Гц ,,,1 мс,,,Есть,,,,Есть,,2.2,Есть,α9 Gen 5,4,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Samsung UE55BU8500U",65 899 р.,5,3,Китай,1 год,Tizen,93 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,,Есть ,Есть,Есть ,,,Есть,,,,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,20 Вт,,,,6.5,,,,60 Гц ,178 °,178 ° ,8 мс,,,Есть,VA,,Edge LED,,,2.0,Есть,Crystal Processor 4K,4,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
