Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук apple macbook air m2 2022 (mly13),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,0.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,0.0,0.0,0.0
ноутбук apple macbook pro m2 2022 (mneh3),0.0,0.0,14,2,1,4,12,0.0,0.0,8.0,7,0.0,0.0,0,58.2,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.4,147790,0.0,0.0,0.0,0.0
"ноутбук apple macbook pro 16"" m1 pro 2021 (mk193)",0.0,0.0,13,2,1,16,12,0.0,0.0,10.0,4,0.0,0.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,60.0,7,16.0,2.15,253590,0.0,16.0,0.0,0.0
ноутбук apple macbook air m1 2020 (mgnd3),0.0,0.0,12,2,1,4,12,0.0,0.0,8.0,1,0.0,0.0,0,49.9,0.0,0.0,0,0,400.0,0.0,60.0,7,8.0,1.29,109790,0.0,0.0,0.0,0.0
ноутбук apple macbook air m2 2022 (mlx43),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,0.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,181990,0.0,0.0,0.0,0.0
"ноутбук apple macbook pro 16"" m1 pro 2021 (mk1f3)",0.0,0.0,13,2,1,16,12,0.0,0.0,10.0,4,0.0,0.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,60.0,7,16.0,2.15,253590,0.0,16.0,0.0,0.0
"ноутбук apple macbook pro 16"" m1 pro 2021 (mk1e3)",0.0,0.0,13,2,1,16,12,0.0,0.0,10.0,4,0.0,0.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,60.0,7,16.0,2.15,239290,0.0,16.0,0.0,0.0
ноутбук apple macbook air m2 2022 (mlxy3),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,0.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,0.0,0.0,0.0
ноутбук apple macbook pro m2 2022 (mnej3),0.0,0.0,14,2,1,4,12,0.0,0.0,8.0,7,0.0,0.0,0,58.2,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.4,182490,0.0,0.0,0.0,0.0
"ноутбук apple macbook pro 14"" m1 pro 10c 2021 (mkgq3)",0.0,0.0,13,2,1,8,12,0.0,0.0,10.0,4,0.0,0.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,60.0,7,16.0,1.61,239290,0.0,0.0,0.0,0.0
ноутбук apple macbook air m2 2022 (mlxw3),0.0,0.0,14,2,1,0,12,0.0,0.0,8.0,7,0.0,0.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,0.0,0.0,0.0
ноутбук apple macbook air m2 2022 (mly33),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,0.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,0.0,0.0,0.0
ноутбук apple macbook air m2 2022 (mly23),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,0.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,181990,0.0,0.0,0.0,0.0
ноутбук apple macbook pro m2 2022 (mnep3),0.0,0.0,14,2,1,4,12,0.0,0.0,8.0,7,0.0,0.0,0,58.2,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.4,147790,0.0,0.0,0.0,0.0
"ноутбук apple macbook pro 16"" m1 pro 2021 (mk183)",0.0,0.0,13,2,1,16,12,0.0,0.0,10.0,4,0.0,0.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,60.0,7,16.0,2.15,239290,0.0,16.0,0.0,0.0
ноутбук apple macbook air m2 2022 (mly23),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,0.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,182490,0.0,0.0,0.0,0.0
"ноутбук xiaomi redmibook pro 14"" ryzen edition 2022 (00000409177)",0.0,0.0,3,2,0,6,12,0.0,0.0,4.0,129,0.0,0.0,0,5600.0,0.0,0.0,0,0,0.0,0.0,0.0,9,16.0,1.45,110490,0.0,0.0,0.0,1.0
"ноутбук xiaomi redmibook pro 15"" ryzen edition 2022 (00000409181)",0.0,0.0,3,2,0,10,12,0.0,0.0,6.0,129,0.0,0.0,0,7000.0,0.0,0.0,0,0,0.0,0.0,0.0,9,16.0,0.0,134590,0.0,0.0,0.0,1.0
ноутбук chuwi corebook xpro (888822),0.0,0.0,90,2,1,13,12,0.0,0.0,4.0,51,0.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,60.0,9,8.0,1.78,45190,0.0,0.0,1.0,2.0
ноутбук redmi g gaming (00000410750),0.0,0.0,25,2,1,14,12,0.0,0.0,10.0,92,0.0,1.0,0,0.0,0.0,16.0,0,0,0.0,0.0,165.0,9,16.0,2.4,141690,0.0,0.0,3.0,0.0
ноутбук redmi redmibook pro (00000410760),0.0,0.0,50,2,1,10,12,0.0,0.0,8.0,140,0.0,1.0,0,0.0,0.0,16.0,0,0,0.0,0.0,90.0,9,16.0,1.8,141690,0.0,0.0,2.0,0.0
ноутбук acer a315-56-33z3 (nx.hs6er.00j),0.0,0.0,90,8,1,13,12,0.0,0.0,2.0,29,0.0,0.0,0,0.0,0.0,4.0,0,0,0.0,0.0,60.0,10,8.0,1.9,46990,0.0,0.0,0.0,0.0
ноутбук f+ fltp-5r3-8512-w,0.0,0.0,77,2,1,13,12,5.0,0.0,4.0,108,0.0,1.0,0,4800.0,0.0,8.0,2,0,250.0,2.0,0.0,9,8.0,1.87,44999,0.0,0.0,2.0,1.0
ноутбук f+ fltp-5r5-16512-w,0.0,0.0,77,2,1,13,12,5.0,0.0,6.0,127,0.0,1.0,0,4800.0,0.0,0.0,2,0,0.0,0.0,0.0,9,16.0,1.78,58999,0.0,0.0,2.0,1.0
ноутбук acer extensa 15 ex215-52-31eb (nx.eg8er.021),0.0,0.0,90,2,1,13,12,0.0,0.0,2.0,29,0.0,0.0,0,0.0,0.0,4.0,0,0,0.0,2.0,60.0,2,8.0,1.9,38990,0.0,0.0,0.0,0.0
ноутбук lenovo ideapad l3 15itl6 (82hl0081re),0.0,0.0,64,8,1,13,12,0.0,0.0,2.0,31,0.0,0.0,0,36.0,0.0,4.0,2,0,250.0,0.0,0.0,10,8.0,2.2,41990,0.0,0.0,1.0,1.0
ноутбук lenovo ip3 14alc6 grey (82kt005qre),0.0,0.0,77,2,0,6,12,0.0,0.0,6.0,125,0.0,1.0,0,45.0,0.0,12.0,2,0,300.0,0.0,0.0,10,8.0,1.41,54990,0.0,0.0,0.0,1.0
ноутбук hasee s8-da7ns,0.0,1.0,31,2,1,13,12,0.0,0.0,10.0,92,0.0,1.0,0,0.0,0.0,16.0,0,0,0.0,0.0,144.0,10,16.0,2.36,95190,0.0,0.0,0.0,0.0
ноутбук hasee s8-da5ns,0.0,1.0,31,2,1,13,12,0.0,0.0,8.0,62,0.0,0.0,0,0.0,0.0,12.0,0,0,0.0,0.0,144.0,5,16.0,2.36,89490,0.0,0.0,0.0,0.0
ноутбук hasee t7-da7np,0.0,0.0,25,2,1,14,12,0.0,0.0,14.0,93,0.0,1.0,0,5400.0,0.0,20.0,0,0,0.0,0.0,165.0,10,16.0,2.25,92390,1.0,0.0,1.0,0.0
ноутбук apple macbook pro 14 m1 pro 10-core cpu/16-core gpu/16gb/1tb space gray (mkgq3),0.0,0.0,13,2,1,8,12,0.0,0.0,10.0,4,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.61,239290,0.0,16.0,0.0,0.0
ноутбук apple macbook air 13 m1 8gb/256gb gold (mgnd3),0.0,0.0,12,2,1,4,12,0.0,0.0,8.0,1,0.0,1.0,0,49.9,0.0,0.0,0,0,400.0,0.0,60.0,7,8.0,1.4,109790,0.0,8.0,0.0,0.0
ноутбук apple macbook pro 13 m2 8gb/256gb space gray (mneh3),0.0,0.0,14,2,1,4,12,0.0,0.0,8.0,7,0.0,1.0,0,58.2,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.4,147790,0.0,8.0,0.0,0.0
ноутбук apple macbook air 13 m2 8gb/256gb midnight (mly33),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,8.0,0.0,0.0
ноутбук apple macbook pro 16 m1 pro 10-core cpu/16-core gpu/16gb/512gb silver (mk1e3),0.0,0.0,13,2,1,16,12,0.0,0.0,10.0,4,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,239290,0.0,16.0,0.0,0.0
ноутбук apple macbook pro 13 m2 8gb/256gb silver (mnep3),0.0,0.0,14,2,1,4,12,0.0,0.0,8.0,7,0.0,1.0,0,58.2,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.4,147790,0.0,8.0,0.0,0.0
ноутбук apple macbook air 13 m1 8gb/256gb silver (mgn93),0.0,0.0,12,2,1,4,12,0.0,0.0,8.0,1,0.0,1.0,0,49.9,0.0,0.0,0,0,400.0,0.0,60.0,7,8.0,1.4,109790,0.0,8.0,0.0,0.0
ноутбук apple macbook air 13 m2 8gb/512gb midnight (mlx43),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,181990,0.0,8.0,0.0,0.0
ноутбук apple macbook pro 16 m1 pro 10-core cpu/16-core gpu/16gb/512gb space gray (mk183),0.0,0.0,13,2,1,16,12,0.0,0.0,10.0,4,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,239290,0.0,16.0,0.0,0.0
ноутбук apple macbook air 13 m2 8gb/512gb starlight (mly23),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,181990,0.0,8.0,0.0,0.0
ноутбук apple macbook pro 14 m1 pro 8-core cpu/14-core gpu/16gb/512gb silver (mkgr3),0.0,0.0,13,2,1,8,12,0.0,0.0,8.0,4,0.0,1.0,0,70.0,0.0,0.0,0,1,1000.0,0.0,120.0,7,16.0,1.64,210690,0.0,14.0,0.0,0.0
ноутбук apple macbook air 13 m2 8gb/256gb space grey (mlxw3),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,8.0,0.0,0.0
ноутбук apple macbook air 13 m2 8-core cpu/10-core gpu/8gb/512gb space grey (mlxx3ll/a),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,181990,0.0,10.0,0.0,0.0
ноутбук apple macbook air 13 m2 8gb/256gb starlight (mly13),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,8.0,0.0,0.0
ноутбук apple macbook air 13 m2 8-core cpu/8-core gpu/8gb/256gb silver (mlxy3),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,144490,0.0,8.0,0.0,0.0
ноутбук apple macbook air 13 m2 8-core cpu/10-core gpu/8gb/512gb silver (mly03),0.0,0.0,14,2,1,5,12,0.0,0.0,8.0,7,0.0,1.0,0,52.6,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.24,181990,0.0,10.0,0.0,0.0
ноутбук apple macbook pro 14 m1 pro 8-core cpu/14-core gpu/16gb/512gb space gray (mkgp3),0.0,0.0,13,2,1,8,12,0.0,0.0,8.0,4,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.61,210690,0.0,14.0,0.0,0.0
ноутбук apple macbook pro 13 m2 8gb/512gb space gray (mnej3),0.0,0.0,14,2,1,4,12,0.0,0.0,8.0,7,0.0,1.0,0,58.2,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.4,182490,0.0,8.0,0.0,0.0
ноутбук apple macbook pro 13 m2 8gb/512gb silver (mneq3),0.0,0.0,14,2,1,4,12,0.0,0.0,8.0,7,0.0,1.0,0,58.2,0.0,0.0,0,0,500.0,0.0,60.0,7,8.0,1.4,182490,0.0,8.0,0.0,0.0
ноутбук apple macbook air 13 m1 8gb/256gb space gray (mgn63),0.0,0.0,12,2,1,4,12,0.0,0.0,8.0,1,0.0,1.0,0,49.9,0.0,0.0,0,0,400.0,0.0,60.0,7,8.0,1.4,109790,0.0,8.0,0.0,0.0
ноутбук apple macbook pro 16 m1 pro 10-core cpu/16-core gpu/16gb/1tb silver (mk1f3),0.0,0.0,13,2,1,16,12,0.0,0.0,10.0,4,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,253590,0.0,16.0,0.0,0.0
игровой ноутбук thunderobot 911x wild hunter d (jt009he09r),0.0,0.0,31,2,1,14,12,5.0,0.0,8.0,62,0.0,1.0,0,0.0,0.0,12.0,0,0,0.0,0.0,144.0,5,16.0,2.3,89999,1.0,0.0,1.0,2.0
ноутбук apple macbook pro 14 m2 pro 12-core cpu/19-core gpu/16gb/1tb space gray (mphf3),0.0,0.0,15,2,1,8,12,0.0,0.0,12.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,308690,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 10-core cpu/16-core gpu/16gb/512gb silver (mphh3),0.0,0.0,15,2,1,8,12,0.0,0.0,10.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,261390,0.0,16.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/1tb space gray (mnw93),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,313190,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 12-core cpu/19-core gpu/16gb/1tb silver (mphj3),0.0,0.0,15,2,1,8,12,0.0,0.0,12.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,308690,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/512gb space gray (mnw83),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,294490,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/1tb silver (mnwd3),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,313190,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 10-core cpu/16-core gpu/16gb/512gb space gray (mphe3),0.0,0.0,15,2,1,8,12,0.0,0.0,10.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,261390,0.0,16.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/512gb silver (mnwc3),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,294490,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/512gb space gray (mnw83),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,294490,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/512gb silver (mnwc3),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,294490,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 10-core cpu/16-core gpu/16gb/512gb space gray (mphe3),0.0,0.0,15,2,1,8,12,0.0,0.0,10.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,261390,0.0,16.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/1tb silver (mnwd3),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,313190,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 12-core cpu/19-core gpu/16gb/1tb space gray (mphf3),0.0,0.0,15,2,1,8,12,0.0,0.0,12.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,308690,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 10-core cpu/16-core gpu/16gb/512gb silver (mphh3),0.0,0.0,15,2,1,8,12,0.0,0.0,10.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,261390,0.0,16.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/1tb space gray (mnw93),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,313190,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 12-core cpu/19-core gpu/16gb/1tb silver (mphj3),0.0,0.0,15,2,1,8,12,0.0,0.0,12.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,308690,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 10-core cpu/16-core gpu/16gb/512gb space gray (mphe3),0.0,0.0,15,2,1,8,12,0.0,0.0,10.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,261390,0.0,16.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/1tb silver (mnwd3),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,313190,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 10-core cpu/16-core gpu/16gb/512gb silver (mphh3),0.0,0.0,15,2,1,8,12,0.0,0.0,10.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,261390,0.0,16.0,0.0,0.0
ноутбук apple macbook pro 16 m2 pro 12-core cpu/19-core gpu/16gb/1tb space gray (mnw93),0.0,0.0,15,2,1,16,12,0.0,0.0,12.0,9,0.0,1.0,0,100.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,2.15,313190,0.0,19.0,0.0,0.0
ноутбук apple macbook pro 14 m2 pro 12-core cpu/19-core gpu/16gb/1tb space gray (mphf3),0.0,0.0,15,2,1,8,12,0.0,0.0,12.0,9,0.0,1.0,0,70.0,0.0,0.0,0,0,1000.0,0.0,120.0,7,16.0,1.6,308690,0.0,19.0,0.0,0.0
