Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Тип светодиодной подсветки,Частота обновления,Таймер включения,eARC,Поддерживаемые форматы,Объем встроенной памяти,Акустическая схема,Батарейки для пульта ДУ,Количество ядер процессора,Объемное звучание,Тип матрицы,Угол обзора по вертикали,Угол обзора по горизонтали,Русифицированное меню,Гид по программам,Родительский контроль,Масштабирование,Модель процессора,Яркость,Динамическая контрастность,Время отклика,Количество тюнеров,Чтение карт памяти,Контрастность,Объем оперативной памяти,VGA (D-Sub),Коаксиальный аудиовход,Версия ОС на начало продаж,Любимые каналы,Технологии улучшения изображения,Эквалайзер,Производитель процессора,Автоматическая регулировка громкости,NFC,Композитный выход,Слот для карт памяти,Технологии улучшения звука,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Подсветка Ambilight,Изогнутый экран,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Автоматическая настройка,SCART,Гребенчатый фильтр,Частота процессора,Список программ,Антибликовое покрытие,Дополнительная информация,Поддержка 3D,Количество каналов,Ручная настройка,Встроенное радио
,,,,Беларусь,1 год,,,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,1.0,1.4,Есть,Есть,,,Есть,,1.0,,,,,,,,Есть ,,,,37.5 см,56 см,16 см,,,Черный ,16:9,"PAL, SECAM",2.0,2x3 Вт,2.5 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Sony KD-65X75K",87 990 р.,0.0,0.0,Вьетнам,1 год,Android TV,135 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-T, DVB-T2 ",Dolby Atmos,,Есть,,,,3.0,,,,,,,Есть ,2.0,Есть ,Есть,Есть ,1.0,,,,,,,,,,,,,,16:9,,2.0,20 Вт,,Direct LED,60 Гц ,Есть,Есть,"AVI, MKV, WMA",16 ГБ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Sharp 4T-C65DL6",62 990 р.,0.0,0.0,Египет,1 год,Android TV,224 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,,Есть,,Есть,"DVB-T, DVB-T2 ",Dolby Audio,,,,,,3.0,2.0,,,,,,Есть ,2.0,Есть ,Есть,Есть ,1.0,,,,Есть ,92 см,146.2 см,30 см,,,,,,,16:9,"NTSC, PAL, SECAM",2.0,20 Вт,,Direct LED,60 Гц ,,,"MP3, AVI, MKV, WMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Sony KD-65X7500H",77 990 р.,0.0,0.0,Малайзия,1 год,Android TV,135 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,300x300 ,,Есть,Есть,,"DVB-T, DVB-T2 ",Dolby Atmos,20 Вт,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,90.5 см,,,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,16 ГБ,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR81009LK",49 990 р.,0.0,0.0,Польша,1 год,WebOS,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,Есть,4.0,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR78006LK",44 990 р.,0.0,0.0,Польша,1 год,WebOS,115 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,200x200 ,,Есть,,Есть,"DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,62.1 см,96.7 см,20 см,56.4 см,96.7 см,5.8 см,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ81006LB",39 390 р.,0.0,0.0,Польша,1 год,WebOS,100 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,2.0,,,,,,Есть,Есть ,1.0,Есть ,,,,,,,,,,,,,,,,,,"PAL, SECAM",2.0,2х10 Вт,,Direct LED,60 Гц ,Есть,,,,2.0,,4.0,Есть,IPS,178 °,178 ° ,Есть,Есть,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR91006LA",52 990 р.,0.0,0.0,Польша,1 год,WebOS,88 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,2.0,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,Есть,,,,,,4.0,,IPS,178 °,178 ° ,Есть,,,Есть,α 5 Gen 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ75006LF",30 990 р.,0.0,0.0,Польша,1 год,WebOS,100 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,20 Вт,Есть,,,,2.0,,,,Есть,,Есть,Есть ,1.0,Есть ,Есть,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,,,,Есть,Есть,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR81006LJ",49 990 р.,0.0,0.0,Польша,1 год,WebOS,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,2.1,,,,Есть,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,62.9 см,96.7 см,24.9 см,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,,,,,178 °,178 ° ,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR78001LJ",44 990 р.,0.0,0.0,Польша,1 год,WebOS,115 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,200x200 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,61.1 см,97.3 см,19 см,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UR78009LL",47 990 р.,0.0,0.0,Польша,1 год,WebOS,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,2.0,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,62.1 см,96.7 см,20 см,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" LG 32LQ630B6LA",23 890 р.,0.0,0.0,Польша,1 год,WebOS,40 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,200x200 ,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,10 Вт,Есть,,,,2.0,,,,Есть,,Есть,Есть ,1.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2.0,2х5 Вт,,Direct LED,60 Гц ,,Есть,,,2.0,,4.0,,IPS,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Supra STV-LC32LT0045W",11 990 р.,0.0,0.0,Беларусь,1 год,,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,,Есть ,,,Есть,100x100 ,,Есть,,,"DVB-C, DVB-T, DVB-T2 ",Стерео,,,,,,3.0,,Есть,Есть,,,Есть,Есть ,2.0,Есть ,,,1.0,1.0,,,Есть ,47.8 см,72.8 см,,,,,,,,16:9,"PAL, SECAM",2.0,2 x 10 Вт,,,60 Гц ,,,"MP3, AVI, MKV, JPEG",,,,,,,178 °,178 ° ,,,,,,220 кд/м² ,100000:1,8.5 мс,3.0,"SD, SDHC, SDXC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 39"" Supra STV-LC39LT0045W",18 990 р.,0.0,0.0,Беларусь,1 год,,65 Вт,"39"" (99 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,,Есть ,,,Есть,200x200 ,,Есть,,,"DVB-C, DVB-T, DVB-T2 ",Стерео,,,,,,3.0,,Есть,,Есть,Есть,Есть,Есть ,2.0,Есть ,,,1.0,1.0,,1.0,Есть ,55.3 см,89 см,21.1 см,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,178 °,178 ° ,,,,,,220 кд/м² ,100000:1,6 мс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Supra STV-LC40ST0045F",21 490 р.,0.0,0.0,Беларусь,1 год,Android TV,75 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,,,Есть ,,,,,,,,Есть,"DVB-C, DVB-T, DVB-T2 ",Стерео,,,,,Есть,3.0,,,Есть,Есть,,Есть,Есть ,2.0,Есть ,Есть,Есть ,1.0,,,,,,,,,,,,,,16:9,"PAL, SECAM",,2х10 Вт,,,60 Гц ,,,"AVI, JPEG",,,,,,,178 °,178 ° ,,,,,ARM Cortex-A55 quad core,250 кд/м² ,,8 мс,,,100000:1,1 ГБ,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QNED телевизор 50"" LG 50QNED816RA",89 990 р.,0.0,0.0,Польша,1 год,WebOS,109 Вт,"50"" (127 см) ",QNED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,200x200 ,Есть,Есть,,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,20 Вт,,,,,4.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,Edge LED,120 Гц ,,,,,2.0,,,,,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG 50UR78009LL",52 990 р.,0.0,0.0,Польша,1 год,WebOS,125 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",,20 Вт,,,,,3.0,2.0,,,Есть,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,71.6 см,112.1 см,,,,,,,,16:9,,2.0,2х10 Вт,,Direct LED,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Витязь 24LH0201",4 999 р.,5.0,670.0,Беларусь,1 год,,,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,1.0,1.4,Есть,Есть,,,Есть,,1.0,,,,,,,,Есть ,,,,37.5 см,56 см,16 см,,,Черный ,16:9,"PAL, SECAM",2.0,2x3 Вт,2.5 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Haier 55 Smart TV S7 DH1VMED01RU",59 999 р.,5.0,9.0,Китай,1 год,Android TV,250 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ","Dolby Atmos, dbx-tv, Simulated Surround Sound",26 Вт,Есть,Есть,,Есть,4.0,2.1,,,Есть,Есть,Есть,Есть ,2.0,Есть ,Есть,Есть ,1.0,1.0,1.0,1.0,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Витязь 24LH0201",4 999 р.,5.0,670.0,Беларусь,1 год,,,"24"" (61 см)",LED,1366x768 Пикс (HD-Ready),,Есть,,,Есть,Есть,Есть,Есть,,,Есть,100x100,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2",Dolby Digital Plus,,,Есть,Есть,,1.0,1.4,Есть,Есть,,,Есть,,1.0,,,,,,,,Есть,,,,37.5 см,56 см,16 см,,,Черный,16:9,"PAL, SECAM",2.0,2x3 Вт,2.5 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hi VHIX-40F152MSY",10 999 р.,4.0,252.0,Беларусь,1 год,Яндекс.ТВ,68 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,,,,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,Есть,,1.0,,,Есть,,,Есть,Есть ,2.0,Есть ,,Есть ,,,,,Есть ,,,,60.4 см,98.8 см,19.2 см,,,Черный ,16:9,"PAL, SECAM",2.0,8 Вт,7 кг,,,,,,,,,,,,,,,,,,,,,,,,1200:1,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Artel UA32H3200",14 999 р.,5.0,148.0,Узбекистан,1 год,Android TV,45 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,Есть ,Голосом ,,,,,,Есть,Есть,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,,,1.0,,,,Есть,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,47.71 см,73.23 см,18.12 см,43.99 см,73.23 см,8.5 см,,,,16:9,"PAL, SECAM",2.0,20 Вт,,,,,,,8 ГБ,,,,,,,,,,,,,240 кд/м² ,,,,,1000:1,1.5 ГБ,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Haier 65 Smart TV AX Pro",59 999 р.,5.0,73.0,Китай,1 год,Android TV,150 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,26 Вт,Есть,Есть,Есть,,4.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,13 Вт,,,60 Гц ,Есть,,,,,,,,,176 °,176 ° ,,,,Есть,,350 кд/м² ,,8 мс,,,5000:1,,,,11.0,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Toshiba 65C350LE",49 999 р.,5.0,16.0,Китай,1 год,VIDAA,160 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,400x300 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,20 Вт,,,60 Гц ,,,,,,,,,IPS,,,,,,Есть,,,,,,,,,,,5.0,,UHD 4K 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" SKYWORTH 32STE6600",10 499 р.,5.0,13.0,Беларусь,1 год,Android TV,60 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,200x200 ,,,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital; Dolby Digital Plus,,,,,,2.0,1.4,,,,,Есть,Есть ,3.0,Есть ,Есть,Есть ,,1.0,,,Есть ,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2.0,16 Вт,,Direct LED,60 Гц ,,,,8 ГБ,,,,,,178 °,178 ° ,,,,,,200 кд/м² ,,8 мс,,,1100:1,1.5 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Haier 50 Smart TV S3",34 999 р.,5.0,31.0,Китай,1 год,Android TV,150 Вт,"50"" (127 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,4.0,2.1,,,Есть,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,30 Вт,,,60 Гц ,Есть,,,,,,,Есть,,178 °,178 ° ,,,,Есть,,320 кд/м² ,,8 мс,,,5000:1,,,,11,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Philips 43PUS7406/60",19 999 р.,4.0,65.0,Россия,1 год,Android TV,,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,100x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4.0,2.0,,,Есть,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,59.05 см,95.84 см,,,,,16:9,"PAL, SECAM",2.0,20 Вт,,,60 Гц ,,,,,2.0,,,,,,,,,,,,350 кд/м² ,,,,,,,,,Android 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Toshiba 43C350LE",29 999 р.,5.0,16.0,Китай,1 год,VIDAA,100 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,Есть,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,16 Вт,,,60 Гц ,,,,,,,,,VA,,,,,,Есть,,,,,,,,,,,5.0,,"HDR10+, HLG, Dolby Vision 1700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Hi VHIX-43F169MSY",13 999 р.,4.0,139.0,Беларусь,1 год,Яндекс.ТВ,,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,,,,Есть,,Есть,"DVB-C, DVB-S, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,Есть,,3.0,2.2,,Есть,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,96.3 см,22.1 см,61.5 см,96.3 см,8 см,,,,16:9,"PAL, SECAM",2.0,2х8 Вт,7 кг,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Haier 65 Smart TV S3",54 999 р.,5.0,10.0,Китай,1 год,Android TV,200 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,4.0,2.1,,,Есть,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,30 Вт,,,60 Гц ,Есть,,,,,,,Есть,,178 °,178 ° ,,,,Есть,,320 кд/м² ,,6.5 мс,,,6000:1,,,,11,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hi VHIX-32F199MSA",8 999 р.,5.0,32.0,Беларусь,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,,100x100 ,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Audio,,,Есть,,,2.0,1.3,,Есть,,,Есть,Есть ,2.0,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",,2х8 Вт,,,60 Гц ,,,,8 ГБ,,,,,IPS,,,,,,,Cortex–A55*4,,,,,,,1 ГБ,,Есть,9.0,,,,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 65"" Haier H65S9UG Pro",119 999 р.,5.0,9.0,Китай,1 год,Android TV,420 Вт,"65"" (165.1 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,,,,3.0,2.1,,,Есть,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,20 Вт,,,120 Гц ,Есть,,,,,,,Есть,,178 °,178 ° ,,,,Есть,,500 кд/м² ,,1 мс,,,,,,,Android 10,Есть,,Есть,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Candy Uno 32",12 999 р.,0.0,0.0,Россия,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,,200x100 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Decoding,,,Есть,Есть,Есть,3.0,1.4a,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,,2.0,2х8 Вт,,Direct LED,60 Гц ,,,,,,,,Есть,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
